text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @CelesteforAR: 'Politics is Personal' by Celeste Williams 
https://t.co/Fqze08wpT9 

Celeste tells the story of her own family's brush w…",FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074435457392648,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dpbcarkansas,9,TRUE,FALSE,,
RT @zamirrvillamil: te extraño tanto vida sin covid,FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074434991824896,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Alejand66337409,84,TRUE,FALSE,,
COVID aside... most yall costumes were nice !,FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074434870235139,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",K1NGCMo,0,FALSE,FALSE,,
@benshapiro Bonus with the BLM shirts - they also become immune to COVID.,FALSE,0,benshapiro,2020-11-02 01:28:21 UTC,FALSE,1323068013650870274,1323074434849099776,17995040,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Zurvan19,0,FALSE,FALSE,,
RT @SNnoticiaCLN: ya basta de tanta mentiras con respecto al COVID-19. chayoteros hagan su trabajo. No publiquen mas mentiras sin sustento.…,FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074434656337925,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PatyFantastic,4,TRUE,FALSE,,
Screw Billy Gates and his killer crime mates. ‘Lockdowns KILL’: Trump Covid adviser Atlas forced to APOLOGIZE for R… https://t.co/6u5zSpEskG,FALSE,0,,2020-11-02 01:28:21 UTC,TRUE,,1323074434576523264,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",YHWH3R1,0,FALSE,FALSE,,
"RT @williams_paige: Dr. Amy Acton famously led Ohio thru the early pandemic, then resigned after demonstrators w/guns showed up at her home…",FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074434132070402,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",spitandtears,103,TRUE,FALSE,,
"RT @EM_RESUS: Hi ER Doc here,

I can’t believe this needs to be said but doctors do NOT get more money if somebody dies from COVID. 

RT so…",FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074434031357959,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",skinny_Ru_YT,34191,TRUE,FALSE,,
@joanapratagomes still não é motivo para desvalorizar!! essa “falta de cuidados de saúde” deve-se à falta de profis… https://t.co/EpvE41lsDN,FALSE,0,joanapratagomes,2020-11-02 01:28:21 UTC,TRUE,1323073077857652737,1323074433930743809,2675048466,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mluiss__,0,FALSE,FALSE,,
RT @andrea_gilcrist: @thesuplexranger @TaylorS11264605 @Anyx700 @PRGuy17 https://t.co/532OFwi4EO,FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074433322422273,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TaylorS11264605,1,TRUE,FALSE,,
"RT @Cleavon_MD: Why did 28 y.o. OBGYN Dr. Adeline Fagan die from COVID19? Lack of basic PPE! ""She wore the same N95 mask for weeks &amp; weeks,…",FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074433108488193,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shell_loyd,1438,TRUE,FALSE,,
RT @PeteButtigieg: Never forget that job growth under Donald Trump was slower than Obama-Biden—even before Covid.,FALSE,0,,2020-11-02 01:28:21 UTC,FALSE,,1323074433091805184,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JayAulait,6275,TRUE,FALSE,,
"RT @nytimes: A group of Stanford University economists estimates that there have been at least 30,000 coronavirus infections and 700 deaths…",FALSE,0,,2020-11-02 01:28:20 UTC,FALSE,,1323074432773009408,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cevalenzuela,8495,TRUE,FALSE,,
"@mmacchiavello Covid has me poorer than I expected to be, but I am donating like I've never donated before. Just wish I could do more.",FALSE,0,mmacchiavello,2020-11-02 01:28:20 UTC,FALSE,1323072298736181248,1323074432710012928,31749972,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BCrawfordCA,0,FALSE,FALSE,,
@EniEnkela @chrisshipitv @TheSun It would have helped alert the public to how serious Covid is and possibly saved lives.,FALSE,0,EniEnkela,2020-11-02 01:28:20 UTC,FALSE,1323047796535103489,1323074432328491008,1210157756860313600,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TruthMatters333,0,FALSE,FALSE,,
"Gecenin bir yarısı birden uyanıp değerli hocamın ölüm haberini aldım, öyle yandı ki içim ne bir tepki verebiliyorum… https://t.co/JbC4iGibHJ",FALSE,0,,2020-11-02 01:28:20 UTC,TRUE,,1323074432085229572,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BetulSahinFB,0,FALSE,FALSE,,
RT @dandrezner: I’ll believe that Trump is growing into the presidency when his staff stops talking about him like a toddler. https://t.co/…,FALSE,0,,2020-11-02 01:28:20 UTC,FALSE,,1323074431984398337,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",redboybroken,6,TRUE,FALSE,,
@WXMegs I’m afraid there will be a bunch with Covid or symptoms.,FALSE,0,WXMegs,2020-11-02 01:28:20 UTC,FALSE,1323073937249603590,1323074431460265986,23437988,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HybergerKevin,0,FALSE,FALSE,,
"@jaydill19 @CrabCrisp @purple_kathryn @TeltheTrekkie Jay, I've listened to intensive debates on this where these bo… https://t.co/M6UWspVjyb",FALSE,0,jaydill19,2020-11-02 01:28:20 UTC,TRUE,1323071449142304768,1323074431338631169,1302633834974982146,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",sidchristos,0,FALSE,FALSE,,
"RT @BernieSanders: What America leads in: 

#1: Covid-19 cases
#1: Medical debt
#1: Prescription drug prices
#1: Deaths from lack of insura…",FALSE,0,,2020-11-02 01:28:20 UTC,FALSE,,1323074431250550784,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MarieDeniseJohn,22895,TRUE,FALSE,,
"really expecting cases to skyrocket bc halloween didn’t scare covid away fun fact,, so the parties a lot of people… https://t.co/MVuLLhOj2V",FALSE,0,,2020-11-02 01:28:20 UTC,TRUE,,1323074430864601089,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alys216,0,FALSE,FALSE,,
